Booksmart,24-May-19,Comedy,"$22,680,962 ",y
Stuber,12-Jul-19,Comedy,"$22,370,452 ",
47 Meters Down: Uncaged,16-Aug-19,Horror,"$22,260,900 ",y
Black and Blue,25-Oct-19,Action,"$22,012,729 ",
Hellboy,12-Apr-19,Horror,"$21,903,748 ",
Jojo Rabbit,18-Oct-19,Black Comedy,"$21,579,550 ",y
Shaft,14-Jun-19,Comedy,"$21,360,215 ",
The Peanut Butter Falcon,9-Aug-19,Adventure,"$20,457,158 ",n
UglyDolls,3-May-19,Adventure,"$20,150,241 ",
Cats,20-Dec-19,Musical,"$19,970,095 ",y
Unplanned,29-Mar-19,Drama,"$19,005,109 ",y
Richard Jewell,13-Dec-19,Drama,"$17,822,217 ",y
